Depth,Biostratigraphy,Reliability,MUD_VOLUME,TVD,GR,Core_depofacies
58.5218,-9999,2,-9999,58.5217,-9999,-9999
58.6742,-9999,2,-9999,58.6741,-9999,-9999
58.8266,-9999,2,-9999,58.8265,-9999,-9999
58.979,-9999,2,-9999,58.9789,-9999,-9999
59.1314,-9999,2,-9999,59.1313,-9999,-9999
59.2838,-9999,2,-9999,59.2837,-9999,-9999
59.4362,-9999,2,-9999,59.4361,-9999,-9999
59.5886,-9999,2,-9999,59.5885,-9999,-9999
59.741,-9999,2,-9999,59.7409,-9999,-9999
59.8934,-9999,2,-9999,59.8933,-9999,-9999
60.0458,-9999,2,-9999,60.0457,-9999,-9999
60.1982,-9999,2,-9999,60.1981,-9999,-9999
60.3506,-9999,2,-9999,60.3505,-9999,-9999
60.503,-9999,2,-9999,60.5029,-9999,-9999
60.6554,-9999,2,-9999,60.6553,-9999,-9999
60.8078,-9999,2,-9999,60.8077,-9999,-9999
60.9602,-9999,2,-9999,60.9601,-9999,-9999
61.1126,-9999,2,-9999,61.1125,-9999,-9999
61.265,-9999,2,-9999,61.2649,-9999,-9999
61.4174,-9999,2,-9999,61.4173,-9999,-9999
61.5698,-9999,2,-9999,61.5697,-9999,-9999
61.7222,-9999,2,-9999,61.7221,-9999,-9999
61.8746,-9999,2,-9999,61.8745,-9999,-9999
62.027,-9999,2,-9999,62.0269,-9999,-9999
62.1794,-9999,2,-9999,62.1793,-9999,-9999
62.3318,-9999,2,-9999,62.3317,-9999,-9999
62.4842,-9999,2,-9999,62.4841,-9999,-9999
62.6366,-9999,2,-9999,62.6365,-9999,-9999
62.789,-9999,2,-9999,62.7889,-9999,-9999
62.9414,-9999,2,-9999,62.9413,-9999,-9999
63.0938,-9999,2,-9999,63.0937,-9999,-9999
63.2462,-9999,2,-9999,63.2461,-9999,-9999
63.3986,-9999,2,-9999,63.3985,-9999,-9999
63.551,-9999,2,-9999,63.5509,-9999,-9999
63.7034,-9999,2,-9999,63.7033,-9999,-9999
63.8558,-9999,2,-9999,63.8557,-9999,-9999
64.0082,-9999,2,-9999,64.0081,-9999,-9999
64.1606,-9999,2,-9999,64.1605,-9999,-9999
64.313,-9999,2,-9999,64.3129,-9999,-9999
64.4654,-9999,2,-9999,64.4653,-9999,-9999
64.6178,-9999,2,-9999,64.6177,-9999,-9999
64.7702,-9999,2,-9999,64.7701,-9999,-9999
64.9226,-9999,2,-9999,64.9225,-9999,-9999
65.075,-9999,2,-9999,65.0749,-9999,-9999
65.2274,-9999,2,-9999,65.2273,-9999,-9999
65.3798,-9999,2,-9999,65.3797,-9999,-9999
65.5322,-9999,2,-9999,65.5321,-9999,-9999
65.6846,-9999,2,-9999,65.6845,-9999,-9999
65.837,-9999,2,-9999,65.8369,-9999,-9999
65.9894,-9999,2,-9999,65.9893,-9999,-9999
66.1418,-9999,2,-9999,66.1417,-9999,-9999
66.2942,-9999,2,-9999,66.2941,-9999,-9999
66.4466,-9999,2,-9999,66.4465,-9999,-9999
66.599,-9999,2,-9999,66.5989,-9999,-9999
66.7514,-9999,2,-9999,66.7513,-9999,-9999
66.9038,-9999,2,-9999,66.9037,-9999,-9999
67.0562,-9999,2,-9999,67.056,-9999,-9999
67.2086,-9999,2,-9999,67.2084,-9999,-9999
67.361,-9999,2,-9999,67.3608,-9999,-9999
67.5134,-9999,2,-9999,67.5132,-9999,-9999
67.6658,-9999,2,-9999,67.6656,-9999,-9999
67.8182,-9999,2,-9999,67.818,-9999,-9999
67.9706,-9999,2,-9999,67.9704,-9999,-9999
68.123,-9999,2,-9999,68.1228,-9999,-9999
68.2754,-9999,2,-9999,68.2752,-9999,-9999
68.4278,-9999,2,-9999,68.4276,-9999,-9999
68.5802,-9999,2,-9999,68.58,-9999,-9999
68.7326,-9999,2,-9999,68.7324,-9999,-9999
68.885,-9999,2,-9999,68.8848,-9999,-9999
69.0374,-9999,2,-9999,69.0372,-9999,-9999
69.1898,-9999,2,-9999,69.1896,-9999,-9999
69.3422,-9999,2,-9999,69.342,-9999,-9999
69.4946,-9999,2,-9999,69.4944,-9999,-9999
69.647,-9999,2,-9999,69.6468,-9999,-9999
69.7994,-9999,2,-9999,69.7992,-9999,-9999
69.9518,-9999,2,-9999,69.9516,-9999,-9999
70.1042,-9999,2,-9999,70.104,-9999,-9999
70.2566,-9999,2,-9999,70.2564,-9999,-9999
70.409,-9999,2,-9999,70.4088,-9999,-9999
70.5614,-9999,2,-9999,70.5612,-9999,-9999
70.7138,-9999,2,-9999,70.7136,-9999,-9999
70.8662,-9999,2,-9999,70.866,-9999,-9999
71.0186,-9999,2,-9999,71.0184,-9999,-9999
71.171,-9999,2,-9999,71.1708,-9999,-9999
71.3234,-9999,2,-9999,71.3232,-9999,-9999
71.4758,-9999,2,-9999,71.4756,-9999,-9999
71.6282,-9999,2,-9999,71.628,-9999,-9999
71.7806,-9999,2,-9999,71.7804,-9999,-9999
71.933,-9999,2,-9999,71.9328,-9999,-9999
72.0854,-9999,2,-9999,72.0852,-9999,-9999
72.2378,-9999,2,-9999,72.2376,-9999,-9999
72.3902,-9999,2,-9999,72.39,-9999,-9999
72.5426,-9999,2,-9999,72.5424,-9999,-9999
72.695,-9999,2,-9999,72.6948,-9999,-9999
72.8474,-9999,2,-9999,72.8472,-9999,-9999
72.9998,-9999,2,-9999,72.9996,-9999,-9999
